team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Melbourne,2023,12,"Hunter, Lachie",24,308,100,230,538,22.42,6,3,0,42,38,89,51,68,22,11,3,173,364,0,7,49,2,8
Melbourne,2023,24,"Rivers, Trent",25,307,119,190,497,19.88,2,5,0,55,100,72,25,66,21,16,0,157,318,16,4,53,8,10
Melbourne,2023,15,"Langdon, Ed",25,272,93,218,490,19.6,6,10,0,54,47,78,45,74,13,9,0,160,327,0,9,26,5,11
Melbourne,2023,13,"Oliver, Clayton",15,224,63,230,454,30.27,6,2,0,101,34,82,104,73,23,20,6,219,234,1,3,27,2,8
Melbourne,2023,1,"May, Steven",23,321,125,75,396,17.22,0,1,0,37,149,33,3,56,18,16,3,103,198,29,1,156,8,1
Melbourne,2023,32,"Sparrow, Tom",23,213,70,182,395,17.17,11,8,0,81,22,68,60,69,15,25,0,139,261,2,6,35,1,6
Melbourne,2023,30,"Neal-Bullen, Alex",25,228,77,159,387,15.48,19,11,1,118,14,85,22,70,29,14,0,154,237,2,11,27,3,14
Melbourne,2023,11,"Gawn, Max",22,228,102,144,372,16.91,10,14,565,44,25,75,94,70,29,22,7,246,132,51,16,66,0,3
Melbourne,2023,17,"Bowey, Jake",23,259,85,112,371,16.13,4,1,0,41,82,38,12,38,13,5,0,123,203,9,1,30,2,1
Melbourne,2023,8,"Lever, Jake",24,194,129,145,339,14.13,0,0,0,25,77,27,4,57,13,25,0,133,207,17,0,132,1,0
Melbourne,2023,41,"McVee, Judd",25,192,69,128,320,12.8,0,0,0,34,60,24,6,29,10,7,0,114,207,6,1,64,3,4
Melbourne,2023,3,"Salem, Christian",16,200,63,106,306,19.13,0,0,0,61,53,41,16,44,10,10,1,93,197,6,0,17,1,1
Melbourne,2023,37,"Chandler, Kade",23,152,83,122,274,11.91,24,13,0,60,6,50,11,32,12,11,2,95,185,4,23,16,0,18
Melbourne,2023,36,"Pickett, Kysaiah",23,193,58,72,265,11.52,37,30,0,93,5,55,29,73,14,26,2,125,138,3,33,31,3,23
Melbourne,2023,6,"Grundy, Brodie",17,100,46,143,243,14.29,10,4,349,49,12,46,50,59,29,29,0,137,117,14,6,39,7,3
Melbourne,2023,23,"Jordon, James",18,113,46,122,235,13.06,4,3,0,37,14,43,22,33,12,8,0,72,171,0,4,7,0,5
Melbourne,2023,31,"Fritsch, Bayley",17,139,71,52,191,11.24,38,25,0,27,1,43,0,28,16,11,4,74,120,14,37,20,2,12
Melbourne,2023,2,"van Rooyen, Jacob",20,90,62,84,174,8.7,28,9,74,43,0,24,7,31,19,16,2,86,95,19,30,42,0,7
Melbourne,2023,35,"Petty, Harry",14,78,64,64,142,10.14,12,1,12,31,13,8,2,28,7,15,2,57,88,13,19,48,0,0
Melbourne,2023,9,"Spargo, Charlie",14,92,45,48,140,10.0,11,6,0,26,6,27,0,23,8,8,0,34,106,2,8,5,2,10
Melbourne,2023,14,"Hibberd, Michael",12,83,36,50,133,11.08,0,0,0,11,41,6,1,18,9,7,0,57,76,5,0,53,0,1
Melbourne,2023,20,"Tomlinson, Adam",9,91,39,30,121,13.44,0,1,0,15,39,8,1,20,8,8,0,38,72,3,0,47,0,0
Melbourne,2023,4,"Harmes, James",9,50,13,61,111,12.33,1,5,0,31,2,21,16,25,5,10,0,47,72,0,2,7,2,1
Melbourne,2023,18,"Melksham, Jake",13,84,50,19,103,7.92,20,11,0,20,1,30,0,37,7,8,2,39,63,11,26,12,0,5
Melbourne,2023,29,"Smith, Joel",14,59,37,28,87,6.21,11,4,1,32,5,9,2,16,5,8,0,43,48,10,14,46,1,2
Melbourne,2023,25,"McDonald, Tom",8,43,24,29,72,9.0,9,4,10,15,1,11,4,11,4,5,0,35,41,7,9,14,0,4
Melbourne,2023,50,"Brown, Ben",7,44,26,22,66,9.43,11,4,7,6,2,7,0,7,6,2,1,29,36,2,10,14,0,5
Melbourne,2023,40,"Woewodin, Taj",4,18,8,19,37,9.25,2,1,0,7,2,8,3,6,3,2,0,14,23,1,1,0,0,2
Melbourne,2023,16,"Laurie, Bailey",5,14,3,22,36,7.2,0,1,0,6,0,6,5,7,1,1,0,17,17,0,0,2,0,3
Melbourne,2023,42,"Turner, Daniel",2,17,7,3,20,10.0,0,0,0,6,5,0,0,7,1,3,0,5,13,2,0,6,0,0
Melbourne,2023,19,"Schache, Josh",3,7,5,3,10,3.33,1,1,1,2,0,3,2,5,1,3,0,4,6,1,1,1,0,1
North Melbourne,2023,3,"Sheezel, Harry",23,357,125,265,622,27.04,3,6,0,67,120,67,39,79,10,13,3,157,408,3,4,31,5,11
North Melbourne,2023,8,"Scott, Bailey",23,330,120,179,509,22.13,5,5,0,60,85,81,35,72,7,7,4,115,378,1,4,23,18,11
North Melbourne,2023,7,"Ziebell, Jack",22,389,149,99,488,22.18,1,3,0,41,132,25,6,63,23,12,2,107,279,12,3,63,1,1
North Melbourne,2023,9,"Davies-Uniacke, Luke",14,175,52,208,383,27.36,8,6,0,63,28,69,94,47,18,19,13,185,213,1,1,9,7,12
North Melbourne,2023,11,"McDonald, Luke",22,249,119,134,383,17.41,1,0,0,80,97,32,12,55,16,20,0,102,265,8,0,77,1,2
